0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
0,0,0,0,12,7,0,0,0,0,0,2,16,4,0,0,0,0,0,12,13,9,3,0,0,0,8,15,4,16,1,0,0,1,15,8,4,16,0,0,0,14,14,8,11,15,1,0,0,9,16,16,16,16,4,0,0,0,0,0,13,6,0,0,4
0,0,6,11,4,0,0,0,0,0,12,16,14,0,0,0,0,0,12,16,6,1,0,0,0,0,5,16,16,5,0,0,0,0,12,16,16,4,0,0,0,0,12,16,16,9,0,0,0,0,13,16,16,12,0,0,0,0,8,12,11,6,0,0,1
0,0,0,5,8,3,0,0,0,0,15,16,16,16,0,0,0,0,16,16,16,13,0,0,0,0,16,16,16,5,0,0,0,0,16,16,16,9,0,0,0,0,16,16,16,4,0,0,0,0,15,16,16,10,0,0,0,0,2,8,8,7,0,0,1
0,0,2,14,1,0,0,0,0,0,9,11,0,0,0,0,0,0,16,4,0,0,0,0,0,4,16,0,0,0,0,0,0,3,13,2,8,8,3,0,0,0,16,14,8,12,12,0,0,1,10,12,4,10,13,0,0,0,2,11,14,14,4,0,6
0,0,0,10,16,15,3,0,0,0,6,13,10,16,2,0,0,0,3,1,2,14,0,0,0,0,0,0,8,8,0,0,0,0,1,8,14,15,8,0,0,1,15,16,13,3,0,0,0,0,2,9,7,0,0,0,0,0,0,14,1,0,0,0,7
0,0,0,10,15,0,0,0,0,0,5,15,5,0,0,0,0,0,13,8,0,0,0,0,0,0,16,4,0,0,0,0,0,5,16,12,9,3,0,0,0,2,16,15,12,15,8,0,0,0,12,14,5,12,11,0,0,0,1,8,14,15,5,0,6
0,1,10,16,11,0,0,0,0,5,16,9,14,6,0,0,0,1,3,0,11,8,0,0,0,0,0,0,11,8,0,0,0,0,0,4,15,0,0,0,0,0,0,9,11,0,0,0,0,0,11,16,10,12,8,0,0,0,11,12,12,12,14,0,2
0,0,3,11,0,0,0,0,0,0,11,10,0,0,0,0,0,0,16,5,0,0,0,0,0,2,16,5,4,2,0,0,0,3,16,16,16,16,6,0,0,2,16,6,0,6,13,0,0,0,15,7,3,12,11,0,0,0,4,14,16,11,3,0,6
0,1,13,11,11,13,5,0,0,8,16,9,8,8,1,0,0,4,16,0,0,0,0,0,0,4,16,16,14,6,0,0,0,2,11,8,9,16,4,0,0,0,0,0,0,12,8,0,0,0,1,5,8,15,6,0,0,2,14,12,12,6,0,0,5
0,0,12,13,14,5,0,0,0,0,16,9,8,6,0,0,0,3,16,2,3,0,0,0,0,5,16,16,16,8,0,0,0,0,2,0,4,16,3,0,0,0,0,0,0,15,8,0,0,0,3,0,4,16,7,0,0,0,11,16,16,13,1,0,5
0,0,3,12,13,9,0,0,0,0,12,8,2,12,2,0,0,0,11,8,12,11,0,0,0,0,7,16,5,0,0,0,0,3,12,6,11,0,0,0,0,4,8,0,7,9,0,0,0,1,12,2,0,13,4,0,0,0,2,12,11,12,6,0,8
0,0,5,13,12,2,0,0,0,0,14,12,12,13,0,0,0,0,11,4,2,15,0,0,0,0,8,8,4,16,1,0,0,0,2,14,16,16,6,0,0,0,0,0,0,7,10,0,0,0,8,9,8,15,10,0,0,0,4,16,16,13,2,0,9
0,0,4,15,13,1,0,0,0,1,15,11,9,7,0,0,0,3,16,3,5,16,3,0,0,0,8,16,16,16,3,0,0,0,0,2,4,14,6,0,0,0,0,0,0,9,11,0,0,0,0,0,0,7,15,0,0,0,5,12,12,16,8,0,9
0,0,0,8,15,2,0,0,0,0,0,13,16,3,0,0,0,0,4,16,14,0,0,0,0,0,7,16,7,0,0,0,0,0,9,16,2,0,0,0,0,0,12,16,4,0,0,0,0,0,8,16,16,8,0,0,0,0,0,6,15,15,0,0,6
0,0,1,14,10,0,0,0,0,0,3,16,16,1,0,0,0,0,3,16,13,0,0,0,0,0,5,16,9,0,0,0,0,0,6,16,10,0,0,0,0,0,4,16,9,0,0,0,0,0,3,16,6,0,0,0,0,0,1,12,6,0,0,0,1
0,0,5,15,13,3,0,0,0,0,15,7,10,15,1,0,0,0,16,4,2,15,8,0,0,1,10,16,16,16,4,0,0,0,0,0,0,12,7,0,0,5,2,0,3,16,5,0,0,7,14,8,14,14,1,0,0,1,8,16,11,1,0,0,9
0,0,1,12,16,7,0,0,0,0,8,16,11,4,0,0,0,0,13,12,0,0,0,0,0,2,16,6,0,0,0,0,0,4,16,13,12,5,0,0,0,6,16,14,12,15,4,0,0,0,11,14,5,14,11,0,0,0,0,12,16,16,8,0,6
0,0,8,4,0,0,0,0,0,0,15,3,0,0,0,0,0,2,13,0,0,0,0,0,0,4,14,11,9,1,0,0,0,4,9,13,16,14,1,0,0,2,12,0,0,9,11,0,0,0,16,8,5,13,11,0,0,0,4,15,16,12,1,0,6
0,0,0,4,14,5,9,0,0,0,4,16,6,11,13,0,0,2,14,9,2,16,4,0,0,7,16,16,16,15,0,0,0,3,16,16,16,13,2,0,0,0,2,9,16,1,0,0,0,0,0,6,16,2,0,0,0,0,0,6,16,5,0,0,4
0,0,9,15,6,0,0,0,0,3,14,16,16,3,0,0,0,7,11,1,15,4,0,0,0,1,2,0,14,4,0,0,0,0,0,9,13,0,0,0,0,0,3,16,4,0,0,0,0,0,14,16,12,11,4,0,0,0,9,15,14,12,5,0,2
0,0,0,1,15,5,0,0,0,0,0,11,15,0,7,1,0,0,8,15,2,5,16,0,0,3,15,8,4,12,11,0,0,10,16,16,16,16,7,0,0,2,8,8,13,16,1,0,0,0,0,0,14,10,0,0,0,0,0,2,14,3,0,0,4
0,0,9,14,6,0,0,0,0,0,16,14,16,6,0,0,0,0,13,12,13,16,1,0,0,0,6,13,10,16,2,0,0,0,0,0,0,12,7,0,0,0,5,1,0,12,8,0,0,1,16,10,8,15,7,0,0,0,8,15,16,11,1,0,9
0,0,2,12,13,4,0,0,0,0,12,11,8,13,0,0,0,0,13,0,13,5,0,0,0,11,14,7,11,0,0,0,0,0,7,16,5,0,0,0,0,0,7,12,12,4,0,0,0,0,9,6,10,10,0,0,0,0,2,14,15,6,0,0,8
0,0,0,10,12,0,0,0,0,0,8,16,9,4,0,0,0,0,15,10,0,0,0,0,0,2,16,6,0,0,0,0,0,3,16,10,10,0,0,0,0,1,15,16,16,10,0,0,0,0,9,13,11,16,3,0,0,0,1,9,15,13,0,0,6
0,0,7,15,16,16,8,0,0,4,16,12,5,13,13,0,0,1,5,0,0,16,10,0,0,0,0,1,8,16,6,0,0,0,9,15,16,16,11,0,0,2,12,14,15,4,1,0,0,0,1,15,6,0,0,0,0,0,10,11,0,0,0,0,7
0,0,11,16,13,2,0,0,0,7,16,11,12,14,0,0,0,9,13,0,11,14,0,0,0,0,0,11,16,14,2,0,0,0,0,10,9,15,10,0,0,0,0,0,0,9,12,0,0,0,14,8,9,16,6,0,0,0,11,16,16,10,0,0,3
0,0,5,16,16,15,1,0,0,0,10,9,10,16,2,0,0,0,0,1,12,10,0,0,0,0,0,9,16,8,0,0,0,0,0,2,14,16,5,0,0,0,0,4,0,16,5,0,0,0,3,14,8,13,0,0,0,0,4,16,13,3,0,0,3
0,0,3,14,8,0,0,0,0,8,16,16,16,6,0,0,0,11,14,4,7,14,0,0,0,9,10,0,0,12,7,0,0,6,11,0,0,6,8,0,0,0,16,4,0,4,12,0,0,0,10,14,10,14,10,0,0,0,2,12,16,13,2,0,0
0,0,4,12,16,7,0,0,0,0,15,5,4,14,0,0,0,0,15,0,3,15,4,0,0,5,16,4,5,16,4,0,0,0,10,12,11,11,8,0,0,0,0,0,0,11,5,0,0,0,2,8,0,15,1,0,0,0,2,13,15,5,0,0,9
0,0,8,15,11,0,0,0,0,7,16,15,15,9,0,0,0,10,14,0,3,12,2,0,0,5,12,0,0,5,7,0,0,4,11,0,0,7,8,0,0,3,11,0,6,16,6,0,0,0,14,13,16,14,1,0,0,0,8,15,11,2,0,0,0
0,0,4,16,11,1,0,0,0,0,5,16,16,7,0,0,0,0,0,14,16,10,0,0,0,0,2,16,16,6,0,0,0,0,3,16,16,9,0,0,0,0,1,16,16,11,0,0,0,0,5,16,16,5,0,0,0,0,2,12,16,11,1,0,1
0,0,6,7,8,9,9,0,0,5,16,16,14,13,3,0,0,5,10,7,3,0,0,0,0,5,16,16,13,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,13,1,0,0,0,0,8,11,12,0,0,0,0,0,10,11,2,0,0,0,5
0,0,0,7,3,0,0,0,0,0,0,15,5,0,0,0,0,0,6,14,2,8,0,0,0,0,12,8,5,14,0,0,0,6,16,12,14,15,4,0,0,2,10,15,16,14,5,0,0,0,0,12,11,0,0,0,0,0,0,11,9,0,0,0,4
0,1,12,16,14,4,0,0,0,8,11,0,10,8,0,0,0,1,1,4,14,4,0,0,0,0,2,16,11,0,0,0,0,0,0,3,13,11,0,0,0,0,0,0,1,11,7,0,0,0,10,0,1,10,8,0,0,0,13,15,15,10,2,0,3
0,0,0,9,10,0,0,0,0,0,2,15,9,0,0,0,0,0,6,16,6,0,0,0,0,0,13,13,5,1,0,0,0,3,16,7,16,8,0,0,1,13,16,10,16,12,0,0,0,13,16,16,16,16,3,0,0,2,4,10,16,2,0,0,4
0,0,7,14,3,0,0,0,0,3,16,16,12,0,0,0,0,10,15,10,16,16,2,0,0,8,16,16,16,10,2,0,0,4,16,15,2,0,0,0,0,4,16,16,4,0,0,0,0,3,16,16,15,0,0,0,0,0,9,16,15,0,0,0,8
0,0,14,16,9,12,1,0,0,0,16,10,10,16,6,0,0,0,12,12,13,13,1,0,0,0,4,16,14,1,0,0,0,0,6,16,7,0,0,0,0,1,15,15,12,0,0,0,0,5,16,12,12,0,0,0,0,1,10,14,3,0,0,0,8
0,0,1,11,12,4,0,0,0,1,11,12,9,15,5,0,0,7,16,4,3,15,7,0,0,3,15,13,15,11,0,0,0,0,3,16,13,14,0,0,0,0,8,9,0,14,7,0,0,0,11,9,9,15,6,0,0,0,2,12,14,8,0,0,8
0,0,8,15,12,1,0,0,0,4,16,14,12,11,0,0,0,4,16,5,1,14,4,0,0,4,14,1,0,12,4,0,0,6,12,0,0,10,5,0,0,8,13,0,1,13,4,0,0,4,16,16,16,14,1,0,0,0,8,13,11,3,0,0,0
0,0,0,4,13,1,0,0,0,0,3,16,13,0,0,0,0,0,8,15,4,0,0,0,0,0,12,14,0,0,0,0,0,0,15,11,6,6,0,0,0,0,13,16,16,16,10,0,0,0,8,16,5,11,16,2,0,0,0,6,12,15,10,0,6
